Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global,mm/day,3.176,3.181,-0.005,2.858,2.827,0.673,0.972
SST global,degC,20.013,19.731,0.281,8.731,8.717,0.292,1.0
SOLIN global,W/m2,350.432,350.432,0.0,146.325,146.325,0.0,1.0
ALBEDO global,dimensionless,0.326,0.326,0.0,0.144,0.144,0.014,0.995
ALBEDOC global,dimensionless,0.188,0.188,-0.0,0.145,0.145,0.007,0.999
RESTOM global,W/m2,11.064,10.674,0.39,98.43,98.835,3.768,0.999
FLUT global,W/m2,238.34,239.016,-0.675,34.946,34.702,4.046,0.993
FLUTC global,W/m2,260.658,261.555,-0.897,32.851,32.534,1.91,0.999
FSNTOA global,W/m2,249.258,249.545,-0.287,121.348,121.779,5.336,0.999
FSNTOAC global,W/m2,297.475,297.398,0.078,139.3,139.283,1.894,1.0
SWCF global,W/m2,-48.217,-47.853,-0.365,36.763,36.434,5.336,0.989
LWCF global,W/m2,22.318,22.54,-0.222,14.028,13.691,2.965,0.978
NETCF global,W/m2,-25.899,-25.313,-0.586,32.412,32.085,3.916,0.993
ALBEDO_SRF global,dimensionless,0.166,0.167,-0.0,0.211,0.211,0.012,0.998
SWCFSRF global,W/m2,-51.874,-51.477,-0.397,41.135,40.834,5.653,0.991
LWCFSRF global,W/m2,26.696,27.427,-0.731,18.781,19.527,2.348,0.994
NETCF_SRF global,W/m2,-25.178,-24.05,-1.128,37.497,37.378,4.86,0.992
FLDS global,W/m2,340.367,339.599,0.767,70.707,70.283,3.546,0.999
FLDSC global,W/m2,315.003,311.753,3.25,83.031,82.951,4.47,0.999
FLNS global,W/m2,51.011,51.898,-0.887,20.05,20.598,3.16,0.989
FLNSC global,W/m2,77.707,79.325,-1.618,15.543,15.97,2.706,0.991
FSDS global,W/m2,193.09,193.512,-0.422,94.772,95.223,6.604,0.998
FSDSC global,W/m2,250.697,250.708,-0.011,110.716,110.646,1.452,1.0
FSNS global,W/m2,168.539,168.833,-0.294,91.052,91.529,6.019,0.998
FSNSC global,W/m2,220.413,220.31,0.104,110.293,110.243,2.292,1.0
LHFLX global,W/m2,91.891,92.066,-0.175,66.299,66.289,8.81,0.991
SHFLX global,W/m2,13.433,13.297,0.136,23.295,22.793,3.581,0.988
NET_FLUX_SRF global,W/m2,12.205,11.571,0.633,93.427,93.4,11.281,0.993
TMQ global,kg/m2,23.449,23.471,-0.022,14.499,14.474,0.956,0.998
U-850mb global,m/s,0.896,0.837,0.059,7.026,7.056,1.074,0.988
OMEGA-850mb global,mbar/day,-0.136,-0.12,-0.016,34.172,34.04,9.61,0.96
OMEGA-500mb global,mbar/day,-0.313,-0.31,-0.004,29.516,29.887,10.508,0.937
OMEGA-200mb global,mbar/day,0.167,0.161,0.006,15.754,15.426,4.893,0.951
U-200mb global,m/s,16.298,16.258,0.04,14.253,14.002,2.0,0.99
Z3-500mb global,hectometer,56.34,56.342,-0.002,2.794,2.788,0.16,0.998
T-850mb global,K,279.732,279.756,-0.024,11.437,11.478,0.548,0.999
T-200mb global,K,218.423,218.624,-0.202,2.855,2.99,0.816,0.964
PSL global,mbar,1011.379,1011.39,-0.011,10.3,10.072,1.517,0.989
CLDTOT_TAU1.3_ISCCP global,%,nan,nan,nan,nan,nan,nan,nan
CLDTOT_TAU1.3_9.4_ISCCP global,%,nan,nan,nan,nan,nan,nan,nan
CLDTOT_TAU9.4_ISCCP global,%,nan,nan,nan,nan,nan,nan,nan
CLDTOT_TAU1.3_MISR global,%,nan,nan,nan,nan,nan,nan,nan
CLDTOT_TAU1.3_9.4_MISR global,%,nan,nan,nan,nan,nan,nan,nan
CLDTOT_TAU9.4_MISR global,%,nan,nan,nan,nan,nan,nan,nan
CLDLOW_TAU1.3_MISR global,%,nan,nan,nan,nan,nan,nan,nan
CLDLOW_TAU1.3_9.4_MISR global,%,nan,nan,nan,nan,nan,nan,nan
CLDLOW_TAU9.4_MISR global,%,nan,nan,nan,nan,nan,nan,nan
CLDTOT_TAU1.3_MODIS global,%,nan,nan,nan,nan,nan,nan,nan
CLDTOT_TAU1.3_9.4_MODIS global,%,nan,nan,nan,nan,nan,nan,nan
CLDTOT_TAU9.4_MODIS global,%,nan,nan,nan,nan,nan,nan,nan
CLDHGH_TAU1.3_MODIS global,%,nan,nan,nan,nan,nan,nan,nan
CLDHGH_TAU1.3_9.4_MODIS global,%,nan,nan,nan,nan,nan,nan,nan
CLDHGH_TAU9.4_MODIS global,%,nan,nan,nan,nan,nan,nan,nan
CLDTOT_CAL global,%,nan,nan,nan,nan,nan,nan,nan
CLDLOW_CAL global,%,nan,nan,nan,nan,nan,nan,nan
CLDMED_CAL global,%,nan,nan,nan,nan,nan,nan,nan
CLDHGH_CAL global,%,nan,nan,nan,nan,nan,nan,nan
TGCLDLWP_OCN global,g/m^2,54.37,54.442,-0.071,28.413,28.587,6.051,0.977
AODVIS global,dimensionless,0.166,0.166,0.0,0.153,0.147,0.02,0.992
TREFHT global,DegC,13.214,13.238,-0.024,15.25,15.305,0.563,0.999
TREFHT land,DegC,4.543,4.595,-0.052,19.039,19.027,0.863,0.999
TAUXY ocean,N/m^2,0.077,0.077,-0.0,0.054,0.053,0.017,0.95
